Key,Campaign Name,Channel,Campaign Type,Campaign Objective,Business Unit,Business Product,Start Date,End Date,Campaign Owner,Target URL,Tracking Link
SM_122528_Taco:M,BTA Facbeook: March Thematic Resturuant ,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122528_Taco:M
SM_122529_Taco:M,BTA Facbeook: March Thematic Business Services,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122529_Taco:M
SM_122530_TinI:M,BTA LinkedIn: March Thematic Business Services,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122530_TinI:M
SM_122531_TinI:M,BTA LinkedIn: March Thematic Care Industry,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122531_TinI:M
SM_122532_TinI:M,BTA LinkedIn: March Thematic Resturuant ,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122532_TinI:M
SM_122533_TinI:M,BTA LinkedIn: March Thematic Business Services,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122533_TinI:M
DI_122534_TooDsc,BTA Google Discovery: March Thematic Business Services,Display,Discovery,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122534_TooDsc
DI_122535_TooDsc,BTA Google Discovery: March Thematic Care Industry,Display,Discovery,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122535_TooDsc
DI_122536_TooDsc,BTA Google Discovery: March Thematic Resturuant ,Display,Discovery,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122536_TooDsc
DI_122537_TooDsc,BTA Google Discovery: March Thematic Business Services,Display,Discovery,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122537_TooDsc
SP_122538_AExPym,SAIC Expo: Payments Stand,Sponsorship,Banner,Awareness,POS,Payment Solutions,22-Mar-2022,26-Mar-2022,Sarika Haribhai,https://vodapay.vodacom.co.za/vodapay/business/payment-solutions,https://vodapay.vodacom.co.za/vodapay/business/payment-solutions?cid=SP_122538_AExPym
SP_122539_AExVda,SAIC Expo: VodaSure Stand,Sponsorship,Banner,Awareness,Insurance,Device Insurance,22-Mar-2022,26-Mar-2022,Sarika Haribhai,https://www.vodacom.co.za/vodacom/services/insurance/insurance,https://www.vodacom.co.za/vodacom/services/insurance/insurance?cid=SP_122539_AExVda
SP_122540_AExLnd,SAIC Expo: Lending Stand,Sponsorship,Banner,Awareness,Lending,Cash Advance,22-Mar-2022,26-Mar-2022,Sarika Haribhai,https://vodapay.vodacom.co.za/vodapay/business/funding,https://vodapay.vodacom.co.za/vodapay/business/funding?cid=SP_122540_AExLnd
SP_122541_AExVda,SAIC Expo: VodaTrade Stand,Sponsorship,Banner,Awareness,VodaTrade,VodaTrade: All,22-Mar-2022,26-Mar-2022,Sarika Haribhai,https://www.vodacombusiness.co.za/business/solutions/financial-services/vodatrade,https://www.vodacombusiness.co.za/business/solutions/financial-services/vodatrade?cid=SP_122541_AExVda
SP_122542_SLen,NSBC Lending,Sponsorship,Banner,Awareness,Lending,Business Term Advance,26-Mar-2022,26-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SP_122542_SLen
MB_122543_TVM,BTA CVM CBU,Mobile,SMS,Lead Generation,Lending,Business Term Advance,23-Mar-2022,23-Apr-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=MB_122543_TVM
MB_122544_oarael,Compare Travel CVM April,Mobile,SMS,Lead Generation,Lending,Compare,01-Apr-2022,30-Apr-2022,Robyn Enslin,vodapaywallet://deeplink.htm?action=miniapp&miniappId=3460010102229957,vodapaywallet://deeplink.htm?action=miniapp&miniappId=3460010102229957?cid=MB_122544_oarael
MB_122545_TBUCmp,BTA CBU  CVM Campaign April,Mobile,SMS,Lead Generation,Lending,Business Term Advance,30-Mar-2022,30-Apr-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=MB_122545_TBUCmp
DI_122546_oSuieC,VodaSure Life Cover Google Display,Display,Standard Display,Lead Generation,Insurance,Life Cover,30-Mar-2022,31-Mar-2023,Liyah Adam ,https://www.vodacom.co.za/vodacom/services/insurance/life-cover,https://www.vodacom.co.za/vodacom/services/insurance/life-cover?cid=DI_122546_oSuieC
PS_122547_oSuieC,VodaSure Life Cover Google Search ,Paid Search,Google Search,Lead Generation,Insurance,Life Cover,30-Mar-2022,31-Mar-2023,Liyah Adam ,https://www.vodacom.co.za/vodacom/services/insurance/life-cover,https://www.vodacom.co.za/vodacom/services/insurance/life-cover?cid=PS_122547_oSuieC
SP_122548_oLeRod,VodaLend QR Codes Retail Business,Sponsorship,Banner,Awareness,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SP_122548_oLeRod
SP_122549_oLeRod,VodaLend QR Codes Retail Payslip BTA,Sponsorship,Banner,Awareness,Lending,Business Term Advance,01-Apr-2022,31-Mar-2021,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SP_122549_oLeRod
MB_122550_oSuASI,VodaSure VAPS Internal CVM Campaign ,Mobile,SMS,Lead Generation,Insurance,Hero Assist,13-Apr-2022,30-May-2022,Liyah Adam ,https://www.vodacom.co.za/vodacom/services/insurance/vodacom-hero-assist,https://www.vodacom.co.za/vodacom/services/insurance/vodacom-hero-assist?cid=MB_122550_oSuASI
SM_122550_oLeTFa,VodaLend BTA Facebook April:  Carousel,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122550_oLeTFa
SM_122551_oLeTFa,VodaLend BTA Facebook April:  Construction,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122551_oLeTFa
SM_122552_oLeTFa,VodaLend BTA Facebook April:  Manufacturing,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122552_oLeTFa
SM_122553_oLeTFa,VodaLend BTA Facebook April:  Retail & Wholesale,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122553_oLeTFa
SM_122554_oLeTFa,VodaLend BTA Facebook April:  Agriculture,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122554_oLeTFa
SM_122555_oLeTLi,VodaLend BTA Linkedin April:  Construction,Social Media,Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122555_oLeTLi
SM_122556_oLeTLi,VodaLend BTA LinkedIn April:  Manufacturing,Social Media,Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122556_oLeTLi
SM_122557_oLeTLi,VodaLend BTA LinkedIn April:  Retail & Wholesale,Social Media,Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122557_oLeTLi
SM_122558_oLeTLi,VodaLend BTA LinkedIn April:  Agriculture,Social Media,Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122558_oLeTLi
SM_122559_oLeTLi,VodaLend BTA LinkedIn April:  Carousel,Social Media,Carousel Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122559_oLeTLi
DI_122560_oLeTGo,VodaLend BTA Google April:  Construction,Display,Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122560_oLeTGo
DI_122561_oLeTGo,VodaLend BTA Google April:  Manufacturing,Display,Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122561_oLeTGo
DI_122562_oLeTGo,VodaLend BTA Google April:  Retail & Wholesale,Display,Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122562_oLeTGo
DI_122563_oLeTGo,VodaLend BTA Google April:  Agriculture,Display,Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122563_oLeTGo
DI_122564_oLeTGo,VodaLend BTA Google April:  Carousel,Display,Carousel Static,Lead Generation,Lending,Business Term Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122564_oLeTGo
SP_122565_CInpmp,BCA: In box pamphlets,Sponsorship,Banner,Awareness,Lending,Business Cash Advance,01-Apr-2022,30-Dec-2022,Robyn Enslin,https://vodapay.vodacom.co.za/merchant/,https://vodapay.vodacom.co.za/merchant/?cid=SP_122565_CInpmp
MB_122566_oLeTCV,VodaLend BTA CVM EBU & SME,Mobile,SMS,Lead Generation,Lending,Business Cash Advance,01-Apr-2022,30-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=MB_122566_oLeTCV
EM_122567_oPalom,VodaPay Welcome / Intro,Email,In-Page links,Awareness,Lending,Voucher Advance,01-May-2022,31-Mar-2023,Mona Weideman,https://vodapay.vodacom.co.za/vodapay/personal/faq ,https://vodapay.vodacom.co.za/vodapay/personal/faq ?cid=EM_122567_oPalom
EM_122568_oPalom,VodaPay Welcome / Intro,Email,In-Page links,Awareness,Lending,Voucher Advance,01-May-2022,31-Mar-2023,Mona Weideman,https://www.vodacom.co.za/vodacom/privacy-policy/terms ,https://www.vodacom.co.za/vodacom/privacy-policy/terms ?cid=EM_122568_oPalom
EM_122569_oPalom,VodaPay Welcome / Intro,Email,In-Page links,Awareness,Lending,Voucher Advance,01-May-2022,31-Mar-2023,Mona Weideman,https://www.vodacom.co.za/vodacom/terms/privacy-policy/payment-services ,https://www.vodacom.co.za/vodacom/terms/privacy-policy/payment-services ?cid=EM_122569_oPalom
SM_122570_uneemA,Business Term Advance May Facebook: Carousel 1,Social Media,Static,Lead Generation,Lending,Business Term Advance,15-May-2022,15-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122570_uneemA
SM_122571_uneemA,Business Term Advance May Facebook: Carousel 2,Social Media,Static,Lead Generation,Lending,Business Term Advance,15-May-2022,15-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122571_uneemA
DI_122572_uneemA,Business Term Advance May Display,Display,Static,Lead Generation,Lending,Business Term Advance,15-May-2022,15-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122572_uneemA
DI_122573_uneemA,Business Term Advance May Gmail,Display,Static,Lead Generation,Lending,Business Term Advance,15-May-2022,15-Jun-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122573_uneemA
VD_122574_uneemA,Business Term Advance: VodaWorld June,Video,Video,Lead Generation,Lending,Business Term Advance,15-Jun-2022,15-Jul-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=VD_122574_uneemA
DI_122575_ocordP,Vodacom World Poster,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/financial-services,https://www.vodacombusiness.co.za/business/solutions/financial-services?cid=DI_122575_ocordP
DI_122576_oLeTGo,VodaLend BTA Google Discovery Ads: July Contextual Targeting,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122576_oLeTGo
DI_122577_oLeTGo,VodaLend BTA Google Discovery Ads: July Custom Audience,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122577_oLeTGo
DI_122578_oLeTGo,VodaLend BTA Google Discovery Ads: July Remarketing Audience,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122578_oLeTGo
DI_122579_oLeTGo,VodaLend BTA Google Discovery Ads: July Look Alike Audience,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122579_oLeTGo
DI_122580_oLeTGo,VodaLend BTA Google Discovery Ads: July Agri Audience,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122580_oLeTGo
DI_122581_oLeTGo,VodaLend BTA Google Discovery Ads: July Retail Audience,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122581_oLeTGo
DI_122582_oLeTGo,VodaLend BTA Google Discovery Ads: July Freight Audience,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122582_oLeTGo
DI_122583_oLeTGo,VodaLend BTA Google Discovery Ads: July Construction Audience,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122583_oLeTGo
DI_122584_oLeTGo,VodaLend BTA Google Discovery Ads: July Services Audience,Display,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=DI_122584_oLeTGo
SM_122585_oLeTFa,VodaLend BTA Facebook Ads: July Contextual Targeting,Social Media,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122585_oLeTFa
SM_122586_oLeTFa,VodaLend BTA Facebook Ads: July Custom Audience,Social Media,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122586_oLeTFa
SM_122587_oLeTFa,VodaLend BTA Facebook Ads: July Remarketing Audience,Social Media,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122587_oLeTFa
SM_122588_oLeTFa,VodaLend BTA Facebook Ads: July Look Alike Audience,Social Media,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122588_oLeTFa
SM_122589_oLeTFa,VodaLend BTA Facebooky Ads: July Agri Audience,Social Media,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122589_oLeTFa
SM_122590_oLeTFa,VodaLend BTA Facebook Ads: July Retail Audience,Social Media,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122590_oLeTFa
SM_122591_oLeTFa,VodaLend BTA Facebook Ads: July Freight Audience,Social Media,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122591_oLeTFa
SM_122592_oLeTFa,VodaLend BTA Facebook Ads: July Construction Audience,Social Media,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122592_oLeTFa
SM_122593_oLeTFa,VodaLend BTA Facebook Ads: July Services Audience,Social Media,Banner,Awareness,Lending,Business Term Advance,20-Jun-2022,20-Jun-2023,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122593_oLeTFa
